Date,PETR4.SA
2011-12-27,15.04269027709961
2011-12-28,14.520938873291016
2011-12-29,14.56159496307373
2012-01-02,14.724220275878906
2012-01-03,15.309904098510742
2012-01-04,15.41921329498291
2012-01-05,15.241583824157715
2012-01-06,15.2552490234375
2012-01-09,15.460201263427734
2012-01-10,15.644660949707031
2012-01-11,15.651491165161133
2012-01-12,15.767631530761719
2012-01-13,15.747130393981934
2012-01-16,16.15703582763672
2012-01-17,16.15703582763672
2012-01-18,16.648923873901367
2012-01-19,16.539615631103516
2012-01-20,16.546443939208984
2012-01-23,17.168132781982422
2012-01-24,17.35258674621582
2012-01-26,17.02467155456543
2012-01-27,16.853878021240234
2012-01-30,16.785558700561523
2012-01-31,16.785558700561523
2012-02-01,17.045166015625
2012-02-02,16.75823211669922
2012-02-03,16.812885284423828
2012-02-06,16.98367691040039
2012-02-07,17.48922348022461
2012-02-08,17.373088836669922
2012-02-09,17.420909881591797
2012-02-10,16.054563522338867
2012-02-13,16.054563522338867
2012-02-14,15.856439590454102
2012-02-15,15.781294822692871
2012-02-16,16.314167022705078
2012-02-17,16.4303035736084
2012-02-23,16.341493606567383
2012-02-24,16.72407341003418
2012-02-27,16.63526153564453
2012-02-28,16.621597290039062
2012-02-29,16.60793113708496
2012-03-01,16.99734115600586
2012-03-02,17.284271240234375
2012-03-05,16.799219131469727
2012-03-06,16.225351333618164
2012-03-07,16.38248634338379
2012-03-08,16.4576358795166
2012-03-09,16.198028564453125
2012-03-12,16.00674057006836
2012-03-13,16.689912796020508
2012-03-14,16.963184356689453
2012-03-15,16.546443939208984
2012-03-16,16.63526153564453
2012-03-19,16.63526153564453
2012-03-20,16.66574478149414
2012-03-21,16.555877685546875
2012-03-22,16.555877685546875
2012-03-23,16.274337768554688
2012-03-26,16.624544143676758
2012-03-27,16.343008041381836
2012-03-28,16.06146812438965
2012-03-29,16.013399124145508
2012-03-30,16.03400230407715
2012-04-02,15.951601028442383
2012-04-03,15.484659194946289
2012-04-04,14.942179679870605
2012-04-05,15.106983184814453
2012-04-09,14.825443267822266
2012-04-10,14.550768852233887
2012-04-11,14.660640716552734
2012-04-12,15.113847732543945
2012-04-13,14.880379676818848
2012-04-16,14.770506858825684
2012-04-17,14.818573951721191
2012-04-18,14.942179679870605
2012-04-19,14.729308128356934
2012-04-20,14.736173629760742
2012-04-23,14.61257266998291
2012-04-24,14.585105895996094
2012-04-25,14.509570121765137
2012-04-26,14.585105895996094
2012-04-27,14.372231483459473
2012-04-30,14.619439125061035
2012-05-02,14.619439125061035
2012-05-03,14.694971084594727
2012-05-04,14.063227653503418
2012-05-07,14.131896018981934
2012-05-08,13.912156105041504
2012-05-09,13.843488693237305
2012-05-10,13.678682327270508
2012-05-11,13.410880088806152
2012-05-14,13.112553596496582
2012-05-15,12.82810115814209
2012-05-16,13.38313102722168
2012-05-17,12.786473274230957
2012-05-18,13.230494499206543
2012-05-21,13.230494499206543
2012-05-22,13.674519538879395
2012-05-23,13.34150218963623
2012-05-24,12.973794937133789
2012-05-25,12.932168006896973
2012-05-28,13.036236763000488
2012-05-29,13.077861785888672
2012-05-30,12.73097038269043
2012-05-31,13.272124290466309
2012-06-01,13.04317569732666
2012-06-04,13.258246421813965
2012-06-05,13.04317569732666
2012-06-06,13.24437141418457
2012-06-08,13.098677635192871
2012-06-11,12.758722305297852
2012-06-12,12.904417037963867
2012-06-13,13.112553596496582
2012-06-14,12.606086730957031
2012-06-15,12.869728088378906
2012-06-18,12.869728088378906
2012-06-19,13.632890701293945
2012-06-20,13.806339263916016
2012-06-21,13.369253158569336
2012-06-22,13.563512802124023
2012-06-25,12.349386215209961
2012-06-26,12.488144874572754
2012-06-27,12.238378524780273
2012-06-28,12.280011177062988
2012-06-29,12.661591529846191
2012-07-02,12.737909317016602
2012-07-03,13.174992561340332
2012-07-04,13.14724349975586
2012-07-05,13.5982027053833
2012-07-06,13.320688247680664
2012-07-10,12.758722305297852
2012-07-11,12.862791061401367
2012-07-12,12.890539169311523
2012-07-13,13.563512802124023
2012-07-16,13.563512802124023
2012-07-17,13.355377197265625
2012-07-18,13.410880088806152
2012-07-19,13.612080574035645
2012-07-20,13.306812286376953
2012-07-23,13.154180526733398
2012-07-24,13.036236763000488
2012-07-25,13.18193244934082
2012-07-26,13.36231517791748
2012-07-27,13.993658065795898
2012-07-30,14.090789794921875
2012-07-31,13.528823852539062
2012-08-01,13.750835418701172
2012-08-02,13.5982027053833
2012-08-03,13.834090232849121
2012-08-06,13.820211410522461
2012-08-07,14.049163818359375
2012-08-08,14.694381713867188
2012-08-09,14.569500923156738
2012-08-10,14.569500923156738
2012-08-13,14.590317726135254
2012-08-14,14.458498001098633
2012-08-15,14.604190826416016
2012-08-16,14.888643264770508
2012-08-17,14.951083183288574
2012-08-20,14.951083183288574
2012-08-21,14.73601245880127
2012-08-22,14.909460067749023
2012-08-23,14.715192794799805
2012-08-24,14.729073524475098
2012-08-27,14.826203346252441
2012-08-28,14.860891342163086
2012-08-29,14.715192794799805
2012-08-30,14.597256660461426
2012-08-31,14.402997016906738
2012-09-03,14.31973934173584
2012-09-04,14.174046516418457
2012-09-05,14.285049438476562
2012-09-06,14.569500923156738
2012-09-10,14.729073524475098
2012-09-11,15.062088966369629
2012-09-12,15.256348609924316
2012-09-13,15.8876953125
2012-09-14,16.165212631225586
2012-09-17,16.144393920898438
2012-09-18,16.0958309173584
2012-09-19,15.728123664855957
2012-09-20,15.96401309967041
2012-09-21,15.748939514160156
2012-09-24,15.929323196411133
2012-09-25,15.728123664855957
