Date,PETR3.SA
2015-01-02,9.0
2015-01-05,8.270000457763672
2015-01-06,8.0600004196167
2015-01-07,8.449999809265137
2015-01-08,9.020000457763672
2015-01-09,9.289999961853027
2015-01-12,8.770000457763672
2015-01-13,8.829999923706055
2015-01-14,8.5
2015-01-15,9.25
2015-01-16,9.229999542236328
2015-01-19,8.880000114440918
2015-01-20,8.890000343322754
2015-01-21,9.460000038146973
2015-01-22,9.8100004196167
2015-01-23,9.520000457763672
2015-01-26,9.539999961853027
2015-01-27,9.640000343322754
2015-01-28,8.630000114440918
2015-01-29,8.470000267028809
2015-01-30,8.039999961853027
2015-02-02,8.569999694824219
2015-02-03,9.789999961853027
2015-02-04,9.899999618530273
2015-02-05,9.65999984741211
2015-02-06,9.029999732971191
2015-02-09,9.199999809265137
2015-02-10,8.829999923706055
2015-02-11,8.850000381469727
2015-02-12,9.369999885559082
2015-02-13,9.779999732971191
2015-02-18,9.949999809265137
2015-02-19,9.640000343322754
2015-02-20,9.539999961853027
2015-02-23,9.380000114440918
2015-02-24,9.739999771118164
2015-02-25,9.300000190734863
2015-02-26,9.199999809265137
2015-02-27,9.479999542236328
2015-03-02,9.279999732971191
2015-03-03,9.510000228881836
2015-03-04,9.149999618530273
2015-03-05,9.210000038146973
2015-03-06,9.09000015258789
2015-03-09,8.789999961853027
2015-03-10,8.319999694824219
2015-03-11,8.470000267028809
2015-03-12,8.279999732971191
2015-03-13,8.149999618530273
2015-03-16,8.25
2015-03-17,8.710000038146973
2015-03-18,9.09000015258789
2015-03-19,8.6899995803833
2015-03-20,9.15999984741211
2015-03-23,9.220000267028809
2015-03-24,9.239999771118164
2015-03-25,9.720000267028809
2015-03-26,9.229999542236328
2015-03-27,9.220000267028809
2015-03-30,9.59000015258789
2015-03-31,9.579999923706055
2015-04-01,10.079999923706055
2015-04-02,10.600000381469727
2015-04-06,10.579999923706055
2015-04-07,10.829999923706055
2015-04-08,10.5600004196167
2015-04-09,11.539999961853027
2015-04-10,11.829999923706055
2015-04-13,12.420000076293945
2015-04-14,12.449999809265137
2015-04-15,13.430000305175781
2015-04-16,13.069999694824219
2015-04-17,13.270000457763672
2015-04-20,13.239999771118164
2015-04-22,13.3100004196167
2015-04-23,14.0600004196167
2015-04-24,14.699999809265137
2015-04-27,13.630000114440918
2015-04-28,13.630000114440918
2015-04-29,13.729999542236328
2015-04-30,14.25
2015-05-04,15.039999961853027
2015-05-05,15.65999984741211
2015-05-06,14.8100004196167
2015-05-07,14.649999618530273
2015-05-08,14.5
2015-05-11,14.670000076293945
2015-05-12,14.699999809265137
2015-05-13,14.920000076293945
2015-05-14,14.8100004196167
2015-05-15,15.050000190734863
2015-05-18,14.640000343322754
2015-05-19,13.75
2015-05-20,13.699999809265137
2015-05-21,14.420000076293945
2015-05-22,14.100000381469727
2015-05-25,13.829999923706055
2015-05-26,13.359999656677246
2015-05-27,13.520000457763672
2015-05-28,13.609999656677246
2015-05-29,13.25
2015-06-01,13.25
2015-06-02,13.850000381469727
2015-06-03,13.829999923706055
2015-06-05,13.520000457763672
2015-06-08,13.550000190734863
2015-06-09,14.050000190734863
2015-06-10,14.149999618530273
2015-06-11,14.149999618530273
2015-06-12,14.180000305175781
2015-06-15,14.199999809265137
2015-06-16,14.680000305175781
2015-06-17,14.489999771118164
2015-06-18,14.800000190734863
2015-06-19,14.510000228881836
2015-06-22,14.550000190734863
2015-06-23,14.350000381469727
2015-06-24,14.619999885559082
2015-06-25,13.979999542236328
2015-06-26,14.649999618530273
2015-06-29,14.050000190734863
2015-06-30,14.029999732971191
2015-07-01,13.520000457763672
2015-07-02,13.640000343322754
2015-07-03,12.949999809265137
2015-07-06,12.850000381469727
2015-07-07,13.15999984741211
2015-07-08,12.979999542236328
2015-07-10,13.270000457763672
2015-07-13,13.270000457763672
2015-07-14,13.510000228881836
2015-07-15,13.180000305175781
2015-07-16,13.270000457763672
2015-07-17,12.619999885559082
2015-07-20,11.859999656677246
2015-07-21,11.850000381469727
2015-07-22,11.380000114440918
2015-07-23,11.289999961853027
2015-07-24,11.09000015258789
2015-07-27,10.420000076293945
2015-07-28,10.979999542236328
2015-07-29,11.800000190734863
2015-07-30,11.520000457763672
2015-07-31,11.579999923706055
2015-08-03,10.979999542236328
2015-08-04,11.109999656677246
2015-08-05,10.989999771118164
2015-08-06,11.460000038146973
2015-08-07,10.609999656677246
2015-08-10,11.010000228881836
2015-08-11,10.970000267028809
2015-08-12,11.029999732971191
2015-08-13,10.579999923706055
2015-08-14,10.350000381469727
2015-08-17,10.199999809265137
2015-08-18,10.020000457763672
2015-08-19,9.770000457763672
2015-08-20,9.6899995803833
2015-08-21,9.199999809265137
2015-08-24,8.699999809265137
2015-08-25,8.880000114440918
2015-08-26,9.130000114440918
2015-08-27,10.15999984741211
2015-08-28,10.279999732971191
2015-08-31,10.619999885559082
2015-09-01,9.949999809265137
2015-09-02,10.199999809265137
2015-09-03,10.239999771118164
2015-09-04,9.899999618530273
2015-09-08,10.050000190734863
2015-09-09,9.680000305175781
2015-09-10,9.3100004196167
2015-09-11,8.8100004196167
2015-09-14,8.829999923706055
2015-09-15,8.729999542236328
2015-09-16,9.479999542236328
2015-09-17,9.279999732971191
2015-09-18,8.90999984741211
2015-09-21,8.619999885559082
2015-09-22,8.350000381469727
2015-09-23,8.260000228881836
2015-09-24,8.300000190734863
2015-09-25,8.079999923706055
2015-09-28,7.670000076293945
2015-09-29,7.849999904632568
2015-09-30,8.539999961853027
2015-10-01,8.369999885559082
2015-10-02,9.149999618530273
